"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","23","test_case","test","TestDaping","","","test_03_login[urldata10]","参数有url和data"
"failed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","32","test_case","test","TestDaping","","","test_03_login[urldata12]","参数有url和data"
"passed","Fri Jan 21 22:45:57 CST 2022","Fri Jan 21 22:45:57 CST 2022","21","test_case","test","TestDaping","","","test_03_login[urldata0]","参数有url和data"
"failed","Fri Jan 21 22:45:57 CST 2022","Fri Jan 21 22:45:57 CST 2022","25","test_case","test","TestDaping","","","test_03_login[urldata1]","参数有url和data"
"passed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","20","test_case","test","TestDaping","","","test_03_login[urldata4]","参数有url和data"
"passed","Fri Jan 21 22:45:57 CST 2022","Fri Jan 21 22:45:57 CST 2022","19","test_case","test","TestDaping","","","test_01_sysTime[common1]","获取系统时间"
"passed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","30","test_case","test","TestDaping","","","test_03_login[urldata2]","参数有url和data"
"passed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","25","test_case","test","TestDaping","","","test_03_login[urldata15]","参数有url和data"
"passed","Fri Jan 21 22:45:57 CST 2022","Fri Jan 21 22:45:57 CST 2022","29","test_case","test","TestDaping","","","test_01_sysTime[common0]","获取系统时间"
"failed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","24","test_case","test","TestDaping","","","test_03_login[urldata13]","参数有url和data"
"passed","Fri Jan 21 22:45:57 CST 2022","Fri Jan 21 22:45:57 CST 2022","28","test_case","test","TestDaping","","","test_01_sysTime[common2]","获取系统时间"
"failed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","27","test_case","test","TestDaping","","","test_03_login[urldata7]","参数有url和data"
"passed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","25","test_case","test","TestDaping","","","test_03_login[urldata6]","参数有url和data"
"passed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","40","test_case","test","TestDaping","","","test_03_login[urldata3]","参数有url和data"
"failed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","21","test_case","test","TestDaping","","","test_03_login[urldata14]","参数有url和data"
"passed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","23","test_case","test","TestDaping","","","test_03_login[urldata5]","参数有url和data"
"failed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","26","test_case","test","TestDaping","","","test_03_login[urldata8]","参数有url和data"
"passed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","21","test_case","test","TestDaping","","","test_03_login[urldata16]","参数有url和data"
"failed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","25","test_case","test","TestDaping","","","test_03_login[urldata9]","参数有url和data"
"failed","Fri Jan 21 22:45:58 CST 2022","Fri Jan 21 22:45:58 CST 2022","29","test_case","test","TestDaping","","","test_03_login[urldata11]","参数有url和data"
